2theta_deg,relative_intensity_au,sample
42.58823529,41.66666667,ATM Mortar
42.76470588,0,ATM Mortar
42.94117647,0,ATM Mortar
43.11764706,0,ATM Mortar
43.29411765,0,ATM Mortar
43.47058824,0,ATM Mortar
43.64705882,0,ATM Mortar
43.82352941,0,ATM Mortar
44,0,ATM Mortar
44.17647059,0,ATM Mortar
44.35294118,20.83333333,ATM Mortar
44.52941176,41.66666667,ATM Mortar
44.70588235,41.66666667,ATM Mortar
44.88235294,41.66666667,ATM Mortar
45.05882353,41.66666667,ATM Mortar
45.23529412,41.66666667,ATM Mortar
45.41176471,41.66666667,ATM Mortar
45.58823529,83.33333333,ATM Mortar
45.76470588,125,ATM Mortar
45.94117647,291.6666667,ATM Mortar
46.11764706,166.6666667,ATM Mortar
46.29411765,83.33333333,ATM Mortar
46.47058824,41.66666667,ATM Mortar
46.64705882,41.66666667,ATM Mortar
46.82352941,0,ATM Mortar
47,0,ATM Mortar
47.17647059,0,ATM Mortar
47.35294118,41.66666667,ATM Mortar
47.52941176,41.66666667,ATM Mortar
47.70588235,0,ATM Mortar
47.88235294,0,ATM Mortar
48.05882353,0,ATM Mortar
48.23529412,0,ATM Mortar
48.41176471,41.66666667,ATM Mortar
48.58823529,0,ATM Mortar
48.76470588,0,ATM Mortar
48.94117647,0,ATM Mortar
49.11764706,41.66666667,ATM Mortar
49.29411765,41.66666667,ATM Mortar
49.47058824,83.33333333,ATM Mortar
49.64705882,208.3333333,ATM Mortar
49.82352941,125,ATM Mortar
50,41.66666667,ATM Mortar
50.17647059,0,ATM Mortar
50.35294118,0,ATM Mortar
50.52941176,41.66666667,ATM Mortar
50.70588235,83.33333333,ATM Mortar
50.88235294,0,ATM Mortar
51.05882353,0,ATM Mortar
51.23529412,0,ATM Mortar
51.41176471,0,ATM Mortar
51.58823529,20.83333333,ATM Mortar
51.76470588,41.66666667,ATM Mortar
51.94117647,41.66666667,ATM Mortar
52.11764706,125,ATM Mortar
52.29411765,83.33333333,ATM Mortar
52.47058824,41.66666667,ATM Mortar
52.64705882,41.66666667,ATM Mortar
52.82352941,0,ATM Mortar
53,41.66666667,ATM Mortar
53.17647059,41.66666667,ATM Mortar
53.35294118,41.66666667,ATM Mortar
53.52941176,41.66666667,ATM Mortar
53.70588235,41.66666667,ATM Mortar
53.88235294,41.66666667,ATM Mortar
54.05882353,41.66666667,ATM Mortar
54.23529412,0,ATM Mortar
54.41176471,0,ATM Mortar
54.58823529,0,ATM Mortar
54.76470588,41.66666667,ATM Mortar
54.94117647,41.66666667,ATM Mortar
55.11764706,41.66666667,ATM Mortar
55.29411765,0,ATM Mortar
55.47058824,0,ATM Mortar
55.64705882,0,ATM Mortar
55.82352941,0,ATM Mortar
56,41.66666667,ATM Mortar
56.17647059,0,ATM Mortar
56.35294118,0,ATM Mortar
56.52941176,0,ATM Mortar
56.70588235,0,ATM Mortar
56.88235294,0,ATM Mortar
57.05882353,0,ATM Mortar
57.23529412,41.66666667,ATM Mortar
57.41176471,83.33333333,ATM Mortar
57.58823529,83.33333333,ATM Mortar
57.76470588,41.66666667,ATM Mortar
57.94117647,0,ATM Mortar
58.11764706,0,ATM Mortar
58.29411765,20.83333333,ATM Mortar
58.47058824,41.66666667,ATM Mortar
58.64705882,41.66666667,ATM Mortar
58.82352941,41.66666667,ATM Mortar
59,41.66666667,ATM Mortar
59.17647059,41.66666667,ATM Mortar
59.35294118,41.66666667,ATM Mortar
59.52941176,0,ATM Mortar
59.70588235,41.66666667,ATM Mortar
59.88235294,41.66666667,ATM Mortar
60.05882353,83.33333333,ATM Mortar
60.23529412,187.5,ATM Mortar
60.41176471,208.3333333,ATM Mortar
60.58823529,125,ATM Mortar
60.76470588,83.33333333,ATM Mortar
60.94117647,41.66666667,ATM Mortar
61.11764706,41.66666667,ATM Mortar
61.29411765,41.66666667,ATM Mortar
61.47058824,41.66666667,ATM Mortar
61.64705882,41.66666667,ATM Mortar
61.82352941,41.66666667,ATM Mortar
62,41.66666667,ATM Mortar
62.17647059,41.66666667,ATM Mortar
62.35294118,41.66666667,ATM Mortar
62.52941176,41.66666667,ATM Mortar
62.70588235,0,ATM Mortar
62.88235294,0,ATM Mortar
63.05882353,20.83333333,ATM Mortar
63.23529412,41.66666667,ATM Mortar
63.41176471,83.33333333,ATM Mortar
63.58823529,83.33333333,ATM Mortar
63.76470588,83.33333333,ATM Mortar
63.94117647,83.33333333,ATM Mortar
64.11764706,41.66666667,ATM Mortar
64.29411765,41.66666667,ATM Mortar
64.47058824,41.66666667,ATM Mortar
64.64705882,41.66666667,ATM Mortar
64.82352941,41.66666667,ATM Mortar
65,41.66666667,ATM Mortar
65.17647059,41.66666667,ATM Mortar
65.35294118,41.66666667,ATM Mortar
65.52941176,0,ATM Mortar
65.70588235,0,ATM Mortar
65.88235294,0,ATM Mortar
66.05882353,0,ATM Mortar
66.23529412,0,ATM Mortar
66.41176471,0,ATM Mortar
66.58823529,0,ATM Mortar
66.76470588,0,ATM Mortar
66.94117647,0,ATM Mortar
67.11764706,0,ATM Mortar
67.29411765,20.83333333,ATM Mortar
67.47058824,41.66666667,ATM Mortar
67.64705882,41.66666667,ATM Mortar
67.82352941,41.66666667,ATM Mortar
68,41.66666667,ATM Mortar
68.17647059,41.66666667,ATM Mortar
68.35294118,41.66666667,ATM Mortar
68.52941176,41.66666667,ATM Mortar
68.70588235,41.66666667,ATM Mortar
68.88235294,41.66666667,ATM Mortar
69.05882353,41.66666667,ATM Mortar
69.23529412,41.66666667,ATM Mortar
69.41176471,41.66666667,ATM Mortar
69.58823529,41.66666667,ATM Mortar
69.76470588,0,ATM Mortar
69.94117647,0,ATM Mortar
70.11764706,0,ATM Mortar
70.29411765,41.66666667,ATM Mortar
70.47058824,41.66666667,ATM Mortar
70.64705882,41.66666667,ATM Mortar
70.82352941,0,ATM Mortar
71,0,ATM Mortar
71.17647059,41.66666667,ATM Mortar
71.35294118,0,ATM Mortar
71.52941176,0,ATM Mortar
71.70588235,0,ATM Mortar
71.88235294,0,ATM Mortar
72.05882353,0,ATM Mortar
72.23529412,0,ATM Mortar
72.41176471,0,ATM Mortar
72.58823529,0,ATM Mortar
72.76470588,0,ATM Mortar
72.94117647,0,ATM Mortar
73.11764706,0,ATM Mortar
73.29411765,0,ATM Mortar
73.47058824,0,ATM Mortar
73.64705882,0,ATM Mortar
73.82352941,0,ATM Mortar
74,20.83333333,ATM Mortar
74.17647059,41.66666667,ATM Mortar
74.35294118,41.66666667,ATM Mortar
74.52941176,41.66666667,ATM Mortar
74.70588235,41.66666667,ATM Mortar
74.88235294,0,ATM Mortar
75.05882353,41.66666667,ATM Mortar
75.23529412,41.66666667,ATM Mortar
75.41176471,41.66666667,ATM Mortar
75.58823529,41.66666667,ATM Mortar
75.76470588,41.66666667,ATM Mortar
75.94117647,41.66666667,ATM Mortar
76.11764706,41.66666667,ATM Mortar
76.29411765,41.66666667,ATM Mortar
76.47058824,41.66666667,ATM Mortar
76.64705882,0,ATM Mortar
76.82352941,0,ATM Mortar
77,41.66666667,ATM Mortar
77.17647059,41.66666667,ATM Mortar
77.35294118,0,ATM Mortar
77.52941176,0,ATM Mortar
77.70588235,0,ATM Mortar
77.88235294,0,ATM Mortar
78.05882353,0,ATM Mortar
78.23529412,0,ATM Mortar
78.41176471,0,ATM Mortar
78.58823529,0,ATM Mortar
78.76470588,0,ATM Mortar
78.94117647,0,ATM Mortar
79.11764706,0,ATM Mortar
79.29411765,41.66666667,ATM Mortar
79.47058824,41.66666667,ATM Mortar
79.64705882,0,ATM Mortar
79.82352941,0,ATM Mortar
80,0,ATM Mortar
80.17647059,0,ATM Mortar
80.35294118,41.66666667,ATM Mortar
80.52941176,41.66666667,ATM Mortar
80.70588235,0,ATM Mortar
16.47058824,125,Granite Waste
16.64705882,187.5,Granite Waste
16.82352941,62.5,Granite Waste
17,62.5,Granite Waste
17.17647059,62.5,Granite Waste
17.35294118,125,Granite Waste
17.52941176,125,Granite Waste
17.70588235,125,Granite Waste
17.88235294,125,Granite Waste
18.05882353,112.5,Granite Waste
18.23529412,125,Granite Waste
18.41176471,125,Granite Waste
18.58823529,125,Granite Waste
18.76470588,62.5,Granite Waste
18.94117647,62.5,Granite Waste
19.11764706,62.5,Granite Waste
19.29411765,125,Granite Waste
19.47058824,93.75,Granite Waste
19.64705882,125,Granite Waste
19.82352941,125,Granite Waste
20,125,Granite Waste
20.17647059,125,Granite Waste
20.35294118,156.25,Granite Waste
20.52941176,125,Granite Waste
20.70588235,125,Granite Waste
